*******************************************************************************,,,,,,,,,,
Revised: April 12, 2021         Earth Barycenter                              3,,,,,,,,,
 ,,,,,,,,,,
 Dynamical point:,,,,,,,,,,
 ---------------,,,,,,,,,,
 The common point about which the Earth and Moon revolve (center of mass). This,,,,,,,,,,
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way ,,,,,,,,,
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.,,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Wed Mar  8 07:28:40 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: Earth-Moon Barycenter (3)       {source: DE441},,,,,,,,,,
Center body name: Solar System Barycenter (0)     {source: DE441},,,,,,,,,,
Center-site name: BODY CENTER,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Start time      : A.D. 2020-Nov-16 09:03:00.0000 TDB,,,,,,,,,,
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB,,,,,,,,,,
Step-size       : 1440 minutes,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Center geodetic : 0.0,0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)},,,,,,
Center cylindric: 0.0,0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)},,,,,,
Center radii    : (undefined),,,,,,,,,,
Output units    : KM-S,,,,,,,,,,
Calendar mode   : Mixed Julian/Gregorian,,,,,,,,,,
Output type     : GEOMETRIC cartesian states,,,,,,,,,,
2459188.877, A.D. 2020-Dec-05 09:03:00.0000,4.11E+07,1.42E+08,8.21E+03,-2.90E+01,8.39E+00,6.22E-05,4.94E+02,1.48E+08,-1.58E-02
2459189.877, A.D. 2020-Dec-06 09:03:00.0000,3.86E+07,1.43E+08,8.22E+03,-2.92E+01,7.88E+00,8.63E-05,4.94E+02,1.48E+08,-9.99E-03
2459190.877, A.D. 2020-Dec-07 09:03:00.0000,3.61E+07,1.44E+08,8.23E+03,-2.93E+01,7.37E+00,1.10E-04,4.94E+02,1.48E+08,-4.16E-03
2459191.877, A.D. 2020-Dec-08 09:03:00.0000,3.36E+07,1.44E+08,8.24E+03,-2.95E+01,6.86E+00,1.35E-04,4.94E+02,1.48E+08,1.69E-03
2459192.877, A.D. 2020-Dec-09 09:03:00.0000,3.10E+07,1.45E+08,8.25E+03,-2.96E+01,6.34E+00,1.59E-04,4.94E+02,1.48E+08,7.53E-03
2459193.877, A.D. 2020-Dec-10 09:03:00.0000,2.84E+07,1.45E+08,8.27E+03,-2.97E+01,5.83E+00,1.84E-04,4.94E+02,1.48E+08,1.34E-02
2459194.877, A.D. 2020-Dec-11 09:03:00.0000,2.59E+07,1.46E+08,8.28E+03,-2.98E+01,5.31E+00,2.08E-04,4.94E+02,1.48E+08,1.92E-02
2459195.877, A.D. 2020-Dec-12 09:03:00.0000,2.33E+07,1.46E+08,8.30E+03,-2.99E+01,4.79E+00,2.33E-04,4.94E+02,1.48E+08,2.51E-02
2459196.877, A.D. 2020-Dec-13 09:03:00.0000,2.07E+07,1.47E+08,8.32E+03,-3.00E+01,4.27E+00,2.57E-04,4.94E+02,1.48E+08,3.09E-02
2459197.877, A.D. 2020-Dec-14 09:03:00.0000,1.81E+07,1.47E+08,8.35E+03,-3.00E+01,3.74E+00,2.82E-04,4.94E+02,1.48E+08,3.68E-02
