            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2309810.499305556, A.D. 1611-Dec-11 23:59:00.0000, -5.378237086560959E+09, -4.194785745416249E+10, -1.604577155682027E+10,  2.979967108498662E-01,  2.220865463043224E+00,  9.100109439033708E-01,  1.508807033516766E+05,  4.523289692256796E+10, -2.417821541208656E+00,
2310176.499305556, A.D. 1612-Dec-11 23:59:00.0000, -5.368809849813273E+09, -4.187759820781326E+10, -1.601698329418894E+10,  2.982413284373864E-01,  2.222773441538399E+00,  9.107407347355879E-01,  1.506255608603273E+05,  4.515640712794612E+10, -2.419876605715394E+00,
2310541.499305556, A.D. 1613-Dec-11 23:59:00.0000, -5.359400654039891E+09, -4.180747073661337E+10, -1.598825066705472E+10,  2.984860883109758E-01,  2.224682688734553E+00,  9.114709237958634E-01,  1.503708992317954E+05,  4.508006149237025E+10, -2.421932999543374E+00,
2310906.499305556, A.D. 1614-Dec-11 23:59:00.0000, -5.349983726684750E+09, -4.173728295280987E+10, -1.595949497481925E+10,  2.987316630223465E-01,  2.226598448435566E+00,  9.122035162153184E-01,  1.501160209188949E+05,  4.500365089645490E+10, -2.423996370527837E+00,
2311271.499305556, A.D. 1615-Dec-11 23:59:00.0000, -5.340559041966560E+09, -4.166703465040581E+10, -1.593071614146793E+10,  2.989780581143537E-01,  2.228520759564497E+00,  9.129385260508180E-01,  1.498609251854738E+05,  4.492717511950730E+10, -2.426066760323297E+00,
2311637.499305556, A.D. 1616-Dec-11 23:59:00.0000, -5.331100720821179E+09, -4.159653291110463E+10, -1.590183514885802E+10,  2.992259580604981E-01,  2.230454954876656E+00,  9.136779906585188E-01,  1.496049115005493E+05,  4.485042414762214E+10, -2.428149911940874E+00,
2312002.499305556, A.D. 1617-Dec-11 23:59:00.0000, -5.321660421878990E+09, -4.152616278138290E+10, -1.587300973956713E+10,  2.994740121566387E-01,  2.232390503894270E+00,  9.144178828875855E-01,  1.493493780994142E+05,  4.477381716119474E+10, -2.430234483326944E+00,
2312367.499305556, A.D. 1618-Dec-11 23:59:00.0000, -5.312212287153015E+09, -4.145573150713825E+10, -1.584416095829914E+10,  2.997229008076974E-01,  2.234332721833816E+00,  9.151602341666832E-01,  1.490936250410658E+05,  4.469714432319144E+10, -2.432326198672393E+00,
2312732.499305556, A.D. 1619-Dec-11 23:59:00.0000, -5.302756290259821E+09, -4.138523887742316E+10, -1.581528872727203E+10,  2.999726284708399E-01,  2.236281649109506E+00,  9.159050593699409E-01,  1.488376515717453E+05,  4.462040540764108E+10, -2.434425101171928E+00,
2313098.499305556, A.D. 1620-Dec-11 23:59:00.0000, -5.293266465331339E+09, -4.131449129606670E+10, -1.578631376937728E+10,  3.002238889860098E-01,  2.238242694261047E+00,  9.166544243470337E-01,  1.485807547254771E+05,  4.454338967064589E+10, -2.436537015200405E+00,
2313463.499305556, A.D. 1621-Dec-11 23:59:00.0000, -5.283794642517073E+09, -4.124387514784170E+10, -1.575739433881867E+10,  3.004753155029366E-01,  2.240205183093420E+00,  9.174042487026094E-01,  1.483243375453908E+05,  4.446651773395440E+10, -2.438650444881311E+00,
