*******************************************************************************,,,,,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-08 06:59:16,,,,,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,,,,,
 ,,,,,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,,,,,
 ,,,,,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,,,,,
 ,,,,,,,,,,
Comet physical (GM= km^3/s^2, RAD= km):,,,,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,,,,,
 ,,,,,,,,,,
COMET comments ,,,,,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,,,,,
2: k1=20.75, k2=5., phase coef.=0.03,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
  ,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Wed Mar  8 06:59:16 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
2453925.499, A.D. 2006-Jul-08 23:59:00.0000,-1.96E+07,-5.14E+08,1.49E+07,1.92E+00,2.22E+01,4.29E+00,1.72E+03,5.15E+08,-2.21E+01
2453926.499, A.D. 2006-Jul-09 23:59:00.0000,-1.94E+07,-5.12E+08,1.53E+07,1.93E+00,2.23E+01,4.29E+00,1.71E+03,5.13E+08,-2.22E+01
2453927.499, A.D. 2006-Jul-10 23:59:00.0000,-1.92E+07,-5.11E+08,1.57E+07,1.93E+00,2.23E+01,4.29E+00,1.70E+03,5.11E+08,-2.22E+01
2453928.499, A.D. 2006-Jul-11 23:59:00.0000,-1.91E+07,-5.09E+08,1.61E+07,1.93E+00,2.23E+01,4.29E+00,1.70E+03,5.09E+08,-2.23E+01
2453929.499, A.D. 2006-Jul-12 23:59:00.0000,-1.89E+07,-5.07E+08,1.64E+07,1.93E+00,2.24E+01,4.29E+00,1.69E+03,5.07E+08,-2.23E+01
2453930.499, A.D. 2006-Jul-13 23:59:00.0000,-1.87E+07,-5.05E+08,1.68E+07,1.93E+00,2.24E+01,4.29E+00,1.69E+03,5.05E+08,-2.23E+01
2453931.499, A.D. 2006-Jul-14 23:59:00.0000,-1.86E+07,-5.03E+08,1.72E+07,1.93E+00,2.25E+01,4.29E+00,1.68E+03,5.03E+08,-2.24E+01
2453932.499, A.D. 2006-Jul-15 23:59:00.0000,-1.84E+07,-5.01E+08,1.75E+07,1.94E+00,2.25E+01,4.28E+00,1.67E+03,5.01E+08,-2.24E+01
2453933.499, A.D. 2006-Jul-16 23:59:00.0000,-1.82E+07,-4.99E+08,1.79E+07,1.94E+00,2.26E+01,4.28E+00,1.67E+03,5.00E+08,-2.25E+01
2453934.499, A.D. 2006-Jul-17 23:59:00.0000,-1.81E+07,-4.97E+08,1.83E+07,1.94E+00,2.26E+01,4.28E+00,1.66E+03,4.98E+08,-2.25E+01
