*******************************************************************************,,,,,,,,,,
JPL/HORIZONS                McNaught (C/2006 P1)           2023-Mar-07 18:40:33,,,,,,,,,,
Rec #:90003598 (+COV) Soln.date: 2021-Apr-15_23:30:59    # obs: 331 (2006-2007),,,,,,,,,,
 ,,,,,,,,,,
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):,,,,,,,
 ,,,,,,,,,,
  EPOCH=  2454065.5 ! 2006-Nov-26.0000000 (TDB)    RMSW= n.a.,,,,,,,,,,
   EC= 1.000018815882278   QR= .1707364648528884   TP= 2454113.2988436329,,,,,,,,,,
   OM= 267.4148026435385   W= 155.9749681149126    IN= 77.83700054890942,,,,,,,,,,
   A= -9074.061068728695   MA= -5.4502812965308E-5 ADIST= 9.999999E99,,,,,,,,,,
   PER= 9.999999E99        N= 1.14E-6              ANGMOM= .010052212,,,,,,,,,,
   DAN= 3.94245            DDN= .17847             L= 82.04948520000001,,,,,,,,,,
   B= 23.4529837           MOID= .40940601         TP= 2007-Jan-12.7988436329,,,,,,,,,,
 ,,,,,,,,,,
Comet physical (GM= km^3/s^2, RAD= km):,,,,,,,,,
   GM= n.a.                RAD= n.a.,,,,,,,,,,
   M1=  5.4      M2=  12.9     k1=  20.75  k2=  5.      PHCOF=  .030,,,,,,,,,,
 ,,,,,,,,,,
COMET comments ,,,,,,,,,,
1: soln ref.= JPL#27, data arc: 2006-08-07 to 2007-07-11,,,,,,,,,
2: k1=20.75, k2=5., phase coef.=0.03,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
  ,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Tue Mar  7 18:40:33 2023 Pasadena, USA      / Horizons,,,,,,,,,
2307984.499, A.D. 1606-Dec-11 23:59:00.0000,-5.43E+09,-4.23E+10,-1.62E+10,2.97E-01,2.21E+00,9.06E-01,1.52E+05,4.56E+10,-2.41E+00
2308349.499, A.D. 1607-Dec-11 23:59:00.0000,-5.42E+09,-4.22E+10,-1.62E+10,2.97E-01,2.21E+00,9.07E-01,1.52E+05,4.55E+10,-2.41E+00
2308715.499, A.D. 1608-Dec-11 23:59:00.0000,-5.41E+09,-4.22E+10,-1.61E+10,2.97E-01,2.22E+00,9.08E-01,1.52E+05,4.55E+10,-2.41E+00
2309080.499, A.D. 1609-Dec-11 23:59:00.0000,-5.40E+09,-4.21E+10,-1.61E+10,2.98E-01,2.22E+00,9.09E-01,1.51E+05,4.54E+10,-2.41E+00
2309445.499, A.D. 1610-Dec-11 23:59:00.0000,-5.39E+09,-4.20E+10,-1.61E+10,2.98E-01,2.22E+00,9.09E-01,1.51E+05,4.53E+10,-2.42E+00
2309810.499, A.D. 1611-Dec-11 23:59:00.0000,-5.38E+09,-4.19E+10,-1.60E+10,2.98E-01,2.22E+00,9.10E-01,1.51E+05,4.52E+10,-2.42E+00
2310176.499, A.D. 1612-Dec-11 23:59:00.0000,-5.37E+09,-4.19E+10,-1.60E+10,2.98E-01,2.22E+00,9.11E-01,1.51E+05,4.52E+10,-2.42E+00
2310541.499, A.D. 1613-Dec-11 23:59:00.0000,-5.36E+09,-4.18E+10,-1.60E+10,2.98E-01,2.22E+00,9.11E-01,1.50E+05,4.51E+10,-2.42E+00
2310906.499, A.D. 1614-Dec-11 23:59:00.0000,-5.35E+09,-4.17E+10,-1.60E+10,2.99E-01,2.23E+00,9.12E-01,1.50E+05,4.50E+10,-2.42E+00
2311271.499, A.D. 1615-Dec-11 23:59:00.0000,-5.34E+09,-4.17E+10,-1.59E+10,2.99E-01,2.23E+00,9.13E-01,1.50E+05,4.49E+10,-2.43E+00
2311637.499, A.D. 1616-Dec-11 23:59:00.0000,-5.33E+09,-4.16E+10,-1.59E+10,2.99E-01,2.23E+00,9.14E-01,1.50E+05,4.49E+10,-2.43E+00
2312002.499, A.D. 1617-Dec-11 23:59:00.0000,-5.32E+09,-4.15E+10,-1.59E+10,2.99E-01,2.23E+00,9.14E-01,1.49E+05,4.48E+10,-2.43E+00
2312367.499, A.D. 1618-Dec-11 23:59:00.0000,-5.31E+09,-4.15E+10,-1.58E+10,3.00E-01,2.23E+00,9.15E-01,1.49E+05,4.47E+10,-2.43E+00
2312732.499, A.D. 1619-Dec-11 23:59:00.0000,-5.30E+09,-4.14E+10,-1.58E+10,3.00E-01,2.24E+00,9.16E-01,1.49E+05,4.46E+10,-2.43E+00
2313098.499, A.D. 1620-Dec-11 23:59:00.0000,-5.29E+09,-4.13E+10,-1.58E+10,3.00E-01,2.24E+00,9.17E-01,1.49E+05,4.45E+10,-2.44E+00
2313463.499, A.D. 1621-Dec-11 23:59:00.0000,-5.28E+09,-4.12E+10,-1.58E+10,3.00E-01,2.24E+00,9.17E-01,1.48E+05,4.45E+10,-2.44E+00
2313828.499, A.D. 1622-Dec-11 23:59:00.0000,-5.27E+09,-4.12E+10,-1.57E+10,3.01E-01,2.24E+00,9.18E-01,1.48E+05,4.44E+10,-2.44E+00
2314193.499, A.D. 1623-Dec-11 23:59:00.0000,-5.26E+09,-4.11E+10,-1.57E+10,3.01E-01,2.24E+00,9.19E-01,1.48E+05,4.43E+10,-2.44E+00
2314559.499, A.D. 1624-Dec-11 23:59:00.0000,-5.26E+09,-4.10E+10,-1.57E+10,3.01E-01,2.25E+00,9.20E-01,1.48E+05,4.42E+10,-2.45E+00
2314924.499, A.D. 1625-Dec-11 23:59:00.0000,-5.25E+09,-4.10E+10,-1.56E+10,3.01E-01,2.25E+00,9.20E-01,1.47E+05,4.42E+10,-2.45E+00
2315289.499, A.D. 1626-Dec-11 23:59:00.0000,-5.24E+09,-4.09E+10,-1.56E+10,3.02E-01,2.25E+00,9.21E-01,1.47E+05,4.41E+10,-2.45E+00
2315654.499, A.D. 1627-Dec-11 23:59:00.0000,-5.23E+09,-4.08E+10,-1.56E+10,3.02E-01,2.25E+00,9.22E-01,1.47E+05,4.40E+10,-2.45E+00
2316020.499, A.D. 1628-Dec-11 23:59:00.0000,-5.22E+09,-4.07E+10,-1.56E+10,3.02E-01,2.25E+00,9.23E-01,1.47E+05,4.39E+10,-2.45E+00
2316385.499, A.D. 1629-Dec-11 23:59:00.0000,-5.21E+09,-4.07E+10,-1.55E+10,3.03E-01,2.26E+00,9.23E-01,1.46E+05,4.38E+10,-2.46E+00
2316750.499, A.D. 1630-Dec-11 23:59:00.0000,-5.20E+09,-4.06E+10,-1.55E+10,3.03E-01,2.26E+00,9.24E-01,1.46E+05,4.38E+10,-2.46E+00
2317115.499, A.D. 1631-Dec-11 23:59:00.0000,-5.19E+09,-4.05E+10,-1.55E+10,3.03E-01,2.26E+00,9.25E-01,1.46E+05,4.37E+10,-2.46E+00
2317481.499, A.D. 1632-Dec-11 23:59:00.0000,-5.18E+09,-4.05E+10,-1.54E+10,3.03E-01,2.26E+00,9.26E-01,1.45E+05,4.36E+10,-2.46E+00
2317846.499, A.D. 1633-Dec-11 23:59:00.0000,-5.17E+09,-4.04E+10,-1.54E+10,3.04E-01,2.26E+00,9.27E-01,1.45E+05,4.35E+10,-2.46E+00
2318211.499, A.D. 1634-Dec-11 23:59:00.0000,-5.16E+09,-4.03E+10,-1.54E+10,3.04E-01,2.27E+00,9.27E-01,1.45E+05,4.35E+10,-2.47E+00
2318576.499, A.D. 1635-Dec-11 23:59:00.0000,-5.15E+09,-4.02E+10,-1.53E+10,3.04E-01,2.27E+00,9.28E-01,1.45E+05,4.34E+10,-2.47E+00
2318942.499, A.D. 1636-Dec-11 23:59:00.0000,-5.14E+09,-4.02E+10,-1.53E+10,3.04E-01,2.27E+00,9.29E-01,1.44E+05,4.33E+10,-2.47E+00
2319307.499, A.D. 1637-Dec-11 23:59:00.0000,-5.13E+09,-4.01E+10,-1.53E+10,3.05E-01,2.27E+00,9.30E-01,1.44E+05,4.32E+10,-2.47E+00
2319672.499, A.D. 1638-Dec-11 23:59:00.0000,-5.12E+09,-4.00E+10,-1.53E+10,3.05E-01,2.27E+00,9.31E-01,1.44E+05,4.31E+10,-2.48E+00
2320037.499, A.D. 1639-Dec-11 23:59:00.0000,-5.11E+09,-4.00E+10,-1.52E+10,3.05E-01,2.28E+00,9.31E-01,1.44E+05,4.31E+10,-2.48E+00
2320403.499, A.D. 1640-Dec-11 23:59:00.0000,-5.10E+09,-3.99E+10,-1.52E+10,3.05E-01,2.28E+00,9.32E-01,1.43E+05,4.30E+10,-2.48E+00
2320768.499, A.D. 1641-Dec-11 23:59:00.0000,-5.09E+09,-3.98E+10,-1.52E+10,3.06E-01,2.28E+00,9.33E-01,1.43E+05,4.29E+10,-2.48E+00
